,author,statement,source,date,target,BinaryNumTarget
0,Andy Nguyen,"""Ivermectin sterilizes the majority (85%) of the men who take it.""",Facebook posts,"September 9, 2021",false,1
1,Gabrielle Settles,Says Nancy Pelosi on Aug. 31 blocked members of Congress from reading aloud on the House floor the names of the 13 U.S. service members killed in Afghanistan.,Facebook posts,"September 9, 2021",barely-true,1
2,Jon Greenberg,“The frequency of hurricanes making landfall in the continental U.S. has declined slightly since 1900...There aren’t more powerful hurricanes either.”,Bjorn Lomborg,"September 9, 2021",half-true,0
3,Tom Kertscher,“President Putin bans mandatory vaccinations in Russia.”,Instagram posts,"September 9, 2021",false,1
4,Amy Sherman,The Texas abortion law “provides at least six weeks for a person to be able to get an abortion.”,Greg Abbott,"September 9, 2021",false,1
5,Ciara O'Rourke,"“Germany halts all Covid-19 vaccines, says they are unsafe and no longer recommended!!”",Bloggers,"September 9, 2021",false,1
6,Ciara O'Rourke,Photo shows a Chinese restaurant sign that says “F--- DeSantis.”,Instagram posts,"September 9, 2021",pants-fire,1
7,Ciara O'Rourke,“Military arrests Hunter Biden!”,Bloggers,"September 8, 2021",pants-fire,1
8,Tom Kertscher,Says a demonstration with an air quality monitor shows that cloth masks are dangerous for children.,Facebook posts,"September 8, 2021",false,1
9,Louis Jacobson,"Texas “ranks 50th in baby wellness checks, ranks 50th in clinical care for infants, ranks 50th in uninsured women, ranks 43rd in maternal mortality, ranks 44th in school funding per child, and ranks 46th in child hunger.”",Occupy Democrats,"September 7, 2021",half-true,0
10,Louis Jacobson,“All” Americans in Afghanistan who “have wanted to come out have come out.”,Charles Schumer,"September 7, 2021",false,1
11,Ciara O'Rourke,Video shows “Pfizer lab in Madrid on fire.”,Viral image,"September 7, 2021",false,1
12,Madison Czopek,“Bill Gates calls for the withdrawal of all Covid-19 Vaccines; ‘The vaccines are far more dangerous than anyone imagined.’”,Bloggers,"September 7, 2021",pants-fire,1
13,Andy Nguyen,The US government is trying to create food shortages by telling farmers to destroy their crops.,Viral image,"September 7, 2021",false,1
14,Amy Sherman,"Women are ""disproportionately impacted by voter ID laws — especially married women who change their names, or those whose IDs do not accurately reflect their gender.""",Joe Biden,"September 7, 2021",mostly-true,0
15,Warren Fiske,The Virginia Employment Commission is sixth in the nation for getting benefits to eligible people quickly…”,Ralph Northam,"September 7, 2021",mostly-true,0
16,Brandon Mulder,"“In the last several months, the Biden administration has released over 7,000 illegal aliens who were COVID positive just in one Texas city.” Biden's border policies are ""endangering not just the people of Texas, but people all across the country.""",Ted Cruz,"September 3, 2021",false,1
